
==========
== CUDA ==
==========

CUDA Version 12.1.1

Container image Copyright (c) 2016-2023, NVIDIA CORPORATION & AFFILIATES. All rights reserved.

This container image and its contents are governed by the NVIDIA Deep Learning Container License.
By pulling and using the container, you accept the terms and conditions of this license:
https://developer.nvidia.com/ngc/nvidia-deep-learning-container-license

A copy of this license is made available in this container at /NGC-DL-CONTAINER-LICENSE for your convenience.


################################################################################
# HORIZON: 1 HOUR(S)
################################################################################

============================================================
Loading data for horizon h+1
============================================================
Features: 823

[Train XGBoost]
/usr/local/lib/python3.10/dist-packages/xgboost/core.py:160: UserWarning: [11:37:51] WARNING: /workspace/src/common/error_msg.cc:27: The tree method `gpu_hist` is deprecated since 2.0.0. To use GPU training, set the `device` parameter to CUDA instead.

    E.g. tree_method = "hist", device = "cuda"

  warnings.warn(smsg, UserWarning)
[0]	train-mlogloss:1.06745	valid-mlogloss:1.07058
[1]	train-mlogloss:1.03773	valid-mlogloss:1.04742
[2]	train-mlogloss:1.00858	valid-mlogloss:1.01886
[3]	train-mlogloss:0.98099	valid-mlogloss:0.99490
[4]	train-mlogloss:0.95542	valid-mlogloss:0.97359
[5]	train-mlogloss:0.93032	valid-mlogloss:0.95347
[6]	train-mlogloss:0.90597	valid-mlogloss:0.93360
[7]	train-mlogloss:0.88226	valid-mlogloss:0.91408
[8]	train-mlogloss:0.85994	valid-mlogloss:0.89917
[9]	train-mlogloss:0.83891	valid-mlogloss:0.87848
[10]	train-mlogloss:0.81831	valid-mlogloss:0.86342
[11]	train-mlogloss:0.79817	valid-mlogloss:0.84589
[12]	train-mlogloss:0.77888	valid-mlogloss:0.83081
[13]	train-mlogloss:0.75999	valid-mlogloss:0.81493
[14]	train-mlogloss:0.74204	valid-mlogloss:0.79951
[15]	train-mlogloss:0.72495	valid-mlogloss:0.78477
[16]	train-mlogloss:0.70803	valid-mlogloss:0.77017
[17]	train-mlogloss:0.69186	valid-mlogloss:0.75915
[18]	train-mlogloss:0.67652	valid-mlogloss:0.74477
[19]	train-mlogloss:0.66123	valid-mlogloss:0.73146
[20]	train-mlogloss:0.64692	valid-mlogloss:0.71879
[21]	train-mlogloss:0.63276	valid-mlogloss:0.70721
[22]	train-mlogloss:0.61886	valid-mlogloss:0.69613
[23]	train-mlogloss:0.60511	valid-mlogloss:0.68641
[24]	train-mlogloss:0.59202	valid-mlogloss:0.67652
[25]	train-mlogloss:0.57958	valid-mlogloss:0.66337
[26]	train-mlogloss:0.56750	valid-mlogloss:0.65563
[27]	train-mlogloss:0.55572	valid-mlogloss:0.64750
[28]	train-mlogloss:0.54465	valid-mlogloss:0.63999
[29]	train-mlogloss:0.53389	valid-mlogloss:0.63155
[30]	train-mlogloss:0.52308	valid-mlogloss:0.62326
[31]	train-mlogloss:0.51223	valid-mlogloss:0.61479
[32]	train-mlogloss:0.50204	valid-mlogloss:0.60595
[33]	train-mlogloss:0.49236	valid-mlogloss:0.59769
[34]	train-mlogloss:0.48262	valid-mlogloss:0.58830
[35]	train-mlogloss:0.47319	valid-mlogloss:0.58130
[36]	train-mlogloss:0.46392	valid-mlogloss:0.57388
[37]	train-mlogloss:0.45504	valid-mlogloss:0.56779
[38]	train-mlogloss:0.44652	valid-mlogloss:0.56043
[39]	train-mlogloss:0.43832	valid-mlogloss:0.55476
[40]	train-mlogloss:0.43042	valid-mlogloss:0.54803
[41]	train-mlogloss:0.42254	valid-mlogloss:0.54200
[42]	train-mlogloss:0.41500	valid-mlogloss:0.53497
[43]	train-mlogloss:0.40743	valid-mlogloss:0.53194
[44]	train-mlogloss:0.39994	valid-mlogloss:0.52914
[45]	train-mlogloss:0.39292	valid-mlogloss:0.52406
[46]	train-mlogloss:0.38589	valid-mlogloss:0.51887
[47]	train-mlogloss:0.37924	valid-mlogloss:0.51363
[48]	train-mlogloss:0.37282	valid-mlogloss:0.51093
[49]	train-mlogloss:0.36639	valid-mlogloss:0.50512
[50]	train-mlogloss:0.36002	valid-mlogloss:0.50040
[51]	train-mlogloss:0.35397	valid-mlogloss:0.49421
[52]	train-mlogloss:0.34801	valid-mlogloss:0.48998
[53]	train-mlogloss:0.34213	valid-mlogloss:0.48578
[54]	train-mlogloss:0.33655	valid-mlogloss:0.48269
[55]	train-mlogloss:0.33122	valid-mlogloss:0.47836
[56]	train-mlogloss:0.32594	valid-mlogloss:0.47604
[57]	train-mlogloss:0.32062	valid-mlogloss:0.47175
[58]	train-mlogloss:0.31547	valid-mlogloss:0.46922
[59]	train-mlogloss:0.31044	valid-mlogloss:0.46677
[60]	train-mlogloss:0.30553	valid-mlogloss:0.46123
[61]	train-mlogloss:0.30072	valid-mlogloss:0.45717
[62]	train-mlogloss:0.29591	valid-mlogloss:0.45460
[63]	train-mlogloss:0.29128	valid-mlogloss:0.45170
[64]	train-mlogloss:0.28681	valid-mlogloss:0.44944
[65]	train-mlogloss:0.28238	valid-mlogloss:0.44599
[66]	train-mlogloss:0.27809	valid-mlogloss:0.44322
[67]	train-mlogloss:0.27397	valid-mlogloss:0.44162
[68]	train-mlogloss:0.26981	valid-mlogloss:0.43945
[69]	train-mlogloss:0.26574	valid-mlogloss:0.43716
[70]	train-mlogloss:0.26181	valid-mlogloss:0.43400
[71]	train-mlogloss:0.25814	valid-mlogloss:0.43154
[72]	train-mlogloss:0.25434	valid-mlogloss:0.42985
[73]	train-mlogloss:0.25074	valid-mlogloss:0.42864
[74]	train-mlogloss:0.24708	valid-mlogloss:0.42639
[75]	train-mlogloss:0.24364	valid-mlogloss:0.42466
[76]	train-mlogloss:0.24016	valid-mlogloss:0.42265
[77]	train-mlogloss:0.23692	valid-mlogloss:0.42019
[78]	train-mlogloss:0.23368	valid-mlogloss:0.41837
[79]	train-mlogloss:0.23064	valid-mlogloss:0.41692
[80]	train-mlogloss:0.22749	valid-mlogloss:0.41413
[81]	train-mlogloss:0.22460	valid-mlogloss:0.41183
[82]	train-mlogloss:0.22174	valid-mlogloss:0.40941
[83]	train-mlogloss:0.21877	valid-mlogloss:0.40724
[84]	train-mlogloss:0.21574	valid-mlogloss:0.40566
[85]	train-mlogloss:0.21296	valid-mlogloss:0.40491
[86]	train-mlogloss:0.21013	valid-mlogloss:0.40366
[87]	train-mlogloss:0.20762	valid-mlogloss:0.40259
[88]	train-mlogloss:0.20495	valid-mlogloss:0.40081
[89]	train-mlogloss:0.20248	valid-mlogloss:0.39981
[90]	train-mlogloss:0.20011	valid-mlogloss:0.39873
[91]	train-mlogloss:0.19759	valid-mlogloss:0.39872
[92]	train-mlogloss:0.19514	valid-mlogloss:0.39712
[93]	train-mlogloss:0.19278	valid-mlogloss:0.39459
[94]	train-mlogloss:0.19058	valid-mlogloss:0.39397
[95]	train-mlogloss:0.18820	valid-mlogloss:0.39182
[96]	train-mlogloss:0.18595	valid-mlogloss:0.39009
[97]	train-mlogloss:0.18380	valid-mlogloss:0.39041
[98]	train-mlogloss:0.18148	valid-mlogloss:0.38913
[99]	train-mlogloss:0.17949	valid-mlogloss:0.38808
[100]	train-mlogloss:0.17755	valid-mlogloss:0.38731
[101]	train-mlogloss:0.17551	valid-mlogloss:0.38583
[102]	train-mlogloss:0.17365	valid-mlogloss:0.38462
[103]	train-mlogloss:0.17167	valid-mlogloss:0.38349
[104]	train-mlogloss:0.16997	valid-mlogloss:0.38318
[105]	train-mlogloss:0.16814	valid-mlogloss:0.38048
[106]	train-mlogloss:0.16612	valid-mlogloss:0.37879
[107]	train-mlogloss:0.16426	valid-mlogloss:0.37638
[108]	train-mlogloss:0.16238	valid-mlogloss:0.37554
[109]	train-mlogloss:0.16070	valid-mlogloss:0.37439
[110]	train-mlogloss:0.15892	valid-mlogloss:0.37354
[111]	train-mlogloss:0.15736	valid-mlogloss:0.37263
[112]	train-mlogloss:0.15580	valid-mlogloss:0.37258
[113]	train-mlogloss:0.15413	valid-mlogloss:0.37049
[114]	train-mlogloss:0.15247	valid-mlogloss:0.36983
[115]	train-mlogloss:0.15083	valid-mlogloss:0.36903
[116]	train-mlogloss:0.14939	valid-mlogloss:0.36827
[117]	train-mlogloss:0.14770	valid-mlogloss:0.36851
[118]	train-mlogloss:0.14635	valid-mlogloss:0.36783
[119]	train-mlogloss:0.14488	valid-mlogloss:0.36776
[120]	train-mlogloss:0.14348	valid-mlogloss:0.36652
[121]	train-mlogloss:0.14214	valid-mlogloss:0.36541
[122]	train-mlogloss:0.14069	valid-mlogloss:0.36482
[123]	train-mlogloss:0.13932	valid-mlogloss:0.36463
[124]	train-mlogloss:0.13811	valid-mlogloss:0.36385
[125]	train-mlogloss:0.13686	valid-mlogloss:0.36322
[126]	train-mlogloss:0.13550	valid-mlogloss:0.36326
[127]	train-mlogloss:0.13434	valid-mlogloss:0.36374
[128]	train-mlogloss:0.13311	valid-mlogloss:0.36301
[129]	train-mlogloss:0.13183	valid-mlogloss:0.36235
[130]	train-mlogloss:0.13060	valid-mlogloss:0.36167
[131]	train-mlogloss:0.12923	valid-mlogloss:0.36108
[132]	train-mlogloss:0.12809	valid-mlogloss:0.36075
[133]	train-mlogloss:0.12688	valid-mlogloss:0.35987
[134]	train-mlogloss:0.12577	valid-mlogloss:0.35885
[135]	train-mlogloss:0.12455	valid-mlogloss:0.35846
[136]	train-mlogloss:0.12353	valid-mlogloss:0.35734
[137]	train-mlogloss:0.12240	valid-mlogloss:0.35682
[138]	train-mlogloss:0.12127	valid-mlogloss:0.35586
[139]	train-mlogloss:0.12022	valid-mlogloss:0.35515
[140]	train-mlogloss:0.11927	valid-mlogloss:0.35447
[141]	train-mlogloss:0.11816	valid-mlogloss:0.35339
[142]	train-mlogloss:0.11705	valid-mlogloss:0.35354
[143]	train-mlogloss:0.11598	valid-mlogloss:0.35285
[144]	train-mlogloss:0.11499	valid-mlogloss:0.35228
[145]	train-mlogloss:0.11400	valid-mlogloss:0.35228
[146]	train-mlogloss:0.11310	valid-mlogloss:0.35139
[147]	train-mlogloss:0.11209	valid-mlogloss:0.35109
[148]	train-mlogloss:0.11109	valid-mlogloss:0.35021
[149]	train-mlogloss:0.11018	valid-mlogloss:0.35049
[150]	train-mlogloss:0.10926	valid-mlogloss:0.35004
[151]	train-mlogloss:0.10837	valid-mlogloss:0.35025
[152]	train-mlogloss:0.10747	valid-mlogloss:0.35024
[153]	train-mlogloss:0.10655	valid-mlogloss:0.34984
[154]	train-mlogloss:0.10566	valid-mlogloss:0.34994
[155]	train-mlogloss:0.10475	valid-mlogloss:0.34997
[156]	train-mlogloss:0.10392	valid-mlogloss:0.34950
[157]	train-mlogloss:0.10312	valid-mlogloss:0.34947
[158]	train-mlogloss:0.10241	valid-mlogloss:0.34885
[159]	train-mlogloss:0.10159	valid-mlogloss:0.34889
[160]	train-mlogloss:0.10072	valid-mlogloss:0.34852
[161]	train-mlogloss:0.09991	valid-mlogloss:0.34817
[162]	train-mlogloss:0.09917	valid-mlogloss:0.34822
[163]	train-mlogloss:0.09855	valid-mlogloss:0.34835
[164]	train-mlogloss:0.09777	valid-mlogloss:0.34766
[165]	train-mlogloss:0.09697	valid-mlogloss:0.34778
[166]	train-mlogloss:0.09622	valid-mlogloss:0.34790
[167]	train-mlogloss:0.09538	valid-mlogloss:0.34781
[168]	train-mlogloss:0.09454	valid-mlogloss:0.34730
[169]	train-mlogloss:0.09374	valid-mlogloss:0.34710
[170]	train-mlogloss:0.09293	valid-mlogloss:0.34702
[171]	train-mlogloss:0.09228	valid-mlogloss:0.34716
[172]	train-mlogloss:0.09150	valid-mlogloss:0.34752
