feature,importance
CO(GT),46.75258255004883
CO(GT)_r3_mean,36.28672409057617
PT08.S2(NMHC),12.39517593383789
CO(GT)_lag1,8.825360298156738
CO(GT)_r6_std,7.770632266998291
CO(GT)_r3_std,7.38514518737793
C6H6(GT),6.649876117706299
hour,6.282747268676758
CO(GT)_lag1_r6_std,6.273679256439209
CO(GT)_lag6_r6_mean,6.102809429168701
NOx(GT),5.386581897735596
CO(GT)_lag1_r3_mean,5.153542518615723
PT08.S2(NMHC)_lag3_r12_std,4.998804569244385
CO(GT)_lag2_r3_std,4.9633941650390625
CO(GT)_lag3_r3_std,4.740951061248779
CO(GT)_lag12,4.717636585235596
CO(GT)_r24_std,4.4613728523254395
AH_lag1_r24_mean,4.427646160125732
CO(GT)_lag2_r6_std,4.217724323272705
PT08.S2(NMHC)_lag2,4.090637683868408
NOx(GT)_r3_std,4.08272123336792
C6H6(GT)_lag2_r6_std,4.0150227546691895
C6H6(GT)_lag1_r6_mean,3.992428779602051
weekday,3.83245587348938
NOx(GT)_lag6_r3_mean,3.645510673522949
RH_lag6_r6_mean,3.5988969802856445
PT08.S4(NO2)_lag2_r6_std,3.489834785461426
RH_lag6_r3_mean,3.470700263977051
CO(GT)_lag12_r3_mean,3.46099591255188
C6H6(GT)_lag1_r3_mean,3.4341704845428467
PT08.S2(NMHC)_lag12_r3_mean,3.3720176219940186
CO(GT)_lag6,3.3337762355804443
T_lag12_r3_mean,3.33015513420105
CO(GT)_r12_std,3.3146004676818848
NMHC(GT)_lag3_r12_mean,3.285797119140625
month,3.2762649059295654
PT08.S4(NO2)_lag12,3.243014335632324
T_lag3_r3_mean,3.2250771522521973
NOx(GT)_lag2_r3_mean,3.200620174407959
T_r6_std,3.193019151687622
PT08.S1(CO),3.1531803607940674
PT08.S2(NMHC)_lag1_r3_mean,3.122023105621338
CO(GT)_lag2_r6_mean,3.068392276763916
CO(GT)_lag3,3.0589852333068848
C6H6(GT)_lag1_r6_std,3.012963056564331
C6H6(GT)_lag12_r24_std,3.008873224258423
NOx(GT)_lag3_r24_std,2.9580376148223877
NMHC(GT)_lag24_r12_std,2.948836326599121
RH_r6_mean,2.94191312789917
NOx(GT)_lag3_r12_std,2.9328396320343018
PT08.S4(NO2)_lag1_r3_mean,2.918419361114502
CO(GT)_lag3_r24_std,2.8924620151519775
CO(GT)_r12_mean,2.891296625137329
NOx(GT)_r24_std,2.8900532722473145
C6H6(GT)_lag1_r24_std,2.879855155944824
NOx(GT)_lag12_r24_std,2.8710169792175293
PT08.S2(NMHC)_lag1_r24_mean,2.862213373184204
C6H6(GT)_r3_std,2.855870246887207
CO(GT)_lag1_r12_std,2.840038776397705
PT08.S5(O3)_r24_mean,2.834446668624878
NO2(GT)_lag2_r6_std,2.833658456802368
PT08.S5(O3)_lag6_r12_mean,2.833491802215576
PT08.S4(NO2)_lag12_r12_mean,2.8166403770446777
CO(GT)_r24_mean,2.8163154125213623
NMHC(GT)_lag6_r6_std,2.8097057342529297
CO(GT)_lag3_r3_mean,2.7918243408203125
T_lag6_r12_std,2.78379487991333
CO(GT)_lag2,2.745189666748047
C6H6(GT)_lag3,2.7435505390167236
CO(GT)_lag6_r3_mean,2.7429678440093994
PT08.S2(NMHC)_lag6_r3_mean,2.7178423404693604
T_lag6_r24_mean,2.713409423828125
PT08.S2(NMHC)_lag3,2.7035775184631348
PT08.S2(NMHC)_lag2_r24_mean,2.68548583984375
CO(GT)_lag1_r3_std,2.6800169944763184
CO(GT)_lag3_r12_mean,2.675703525543213
T_lag3_r12_mean,2.65954852104187
NOx(GT)_r24_mean,2.6321113109588623
NMHC(GT)_lag3_r24_std,2.6297857761383057
CO(GT)_lag3_r12_std,2.625704288482666
T_r6_mean,2.6060070991516113
NOx(GT)_lag1_r24_mean,2.6023778915405273
C6H6(GT)_lag2,2.5967931747436523
NMHC(GT)_lag2_r24_mean,2.591174602508545
PT08.S2(NMHC)_lag2_r12_std,2.5870559215545654
PT08.S5(O3)_lag6_r24_mean,2.585078001022339
C6H6(GT)_lag2_r12_mean,2.5728695392608643
PT08.S4(NO2)_lag1_r6_std,2.572234869003296
PT08.S4(NO2)_lag2,2.570742607116699
PT08.S5(O3)_lag3_r6_std,2.5549051761627197
PT08.S3(NOx)_lag2_r12_std,2.541483163833618
C6H6(GT)_lag24_r6_mean,2.538123846054077
PT08.S2(NMHC)_lag1_r6_std,2.5340144634246826
CO(GT)_lag2_r3_mean,2.5227887630462646
C6H6(GT)_lag1_r12_mean,2.5226621627807617
NO2(GT)_lag6_r6_mean,2.501682758331299
PT08.S1(CO)_r24_mean,2.499765396118164
NOx(GT)_lag6_r6_mean,2.4979746341705322
C6H6(GT)_lag2_r3_mean,2.4850573539733887
NOx(GT)_lag2_r3_std,2.4798872470855713
PT08.S4(NO2)_lag1,2.4738271236419678
PT08.S1(CO)_lag2_r3_mean,2.47282338142395
PT08.S1(CO)_lag12_r12_mean,2.4703221321105957
PT08.S3(NOx)_r12_std,2.469710111618042
C6H6(GT)_lag1,2.467107057571411
PT08.S2(NMHC)_lag1,2.4664340019226074
PT08.S5(O3)_lag2_r24_mean,2.4663100242614746
NOx(GT)_lag12_r3_mean,2.462820529937744
CO(GT)_lag12_r12_std,2.4563379287719727
PT08.S1(CO)_lag12_r3_mean,2.4551994800567627
C6H6(GT)_lag12_r3_mean,2.4527857303619385
NOx(GT)_lag1_r12_mean,2.452430009841919
PT08.S1(CO)_lag12_r24_std,2.452232837677002
PT08.S2(NMHC)_lag6_r12_mean,2.4336423873901367
C6H6(GT)_r24_mean,2.423076868057251
NOx(GT)_lag24_r3_std,2.41007399559021
NO2(GT)_lag2,2.392685651779175
PT08.S5(O3)_lag2_r12_std,2.3856325149536133
CO(GT)_lag1_r24_std,2.3775596618652344
NOx(GT)_lag12_r6_mean,2.3579320907592773
PT08.S2(NMHC)_lag3_r24_std,2.353945732116699
T_lag2_r3_mean,2.3500843048095703
NOx(GT)_lag12_r12_std,2.345057487487793
CO(GT)_lag3_r6_std,2.3249917030334473
NOx(GT)_lag2_r12_mean,2.3230791091918945
NMHC(GT)_lag2_r6_std,2.3212878704071045
RH_lag6_r6_std,2.313573122024536
PT08.S1(CO)_lag1_r3_mean,2.3071672916412354
NMHC(GT)_lag12_r24_std,2.3025012016296387
PT08.S5(O3)_lag1_r12_mean,2.3022358417510986
PT08.S2(NMHC)_r12_mean,2.2994651794433594
PT08.S3(NOx)_lag6_r12_mean,2.2928364276885986
PT08.S5(O3)_lag3_r6_mean,2.287661075592041
C6H6(GT)_lag6_r12_mean,2.286975145339966
NOx(GT)_lag6_r12_mean,2.284194231033325
NOx(GT)_lag3,2.2724180221557617
PT08.S1(CO)_lag3_r12_std,2.2723093032836914
PT08.S2(NMHC)_r3_std,2.268383741378784
PT08.S1(CO)_lag1_r12_mean,2.2638092041015625
PT08.S3(NOx)_lag3_r12_std,2.254845142364502
C6H6(GT)_r24_std,2.250199317932129
NO2(GT)_lag12_r3_mean,2.24604868888855
CO(GT)_lag12_r12_mean,2.2437007427215576
C6H6(GT)_lag12,2.2410380840301514
PT08.S4(NO2)_lag1_r12_mean,2.2392494678497314
RH_r6_std,2.2300641536712646
NMHC(GT)_lag12_r6_std,2.2266321182250977
C6H6(GT)_lag2_r24_std,2.2228734493255615
PT08.S1(CO)_lag2_r24_std,2.2224655151367188
PT08.S5(O3)_lag1_r6_mean,2.219977378845215
T_lag12_r6_mean,2.219543933868408
PT08.S2(NMHC)_lag12,2.211322069168091
PT08.S5(O3)_lag1_r3_mean,2.207885980606079
NOx(GT)_lag6_r12_std,2.206538438796997
C6H6(GT)_lag6_r24_std,2.198887348175049
CO(GT)_lag24_r3_std,2.1925208568573
PT08.S3(NOx)_lag24_r12_std,2.191993236541748
NMHC(GT)_lag6_r3_std,2.1919682025909424
NOx(GT)_lag24_r24_std,2.1897482872009277
PT08.S2(NMHC)_lag1_r12_mean,2.1886327266693115
C6H6(GT)_lag3_r12_std,2.1880831718444824
RH_lag12_r6_std,2.1875064373016357
NO2(GT)_lag2_r12_mean,2.1872806549072266
NMHC(GT)_lag3_r6_std,2.186951160430908
NMHC(GT)_lag2_r12_std,2.183359146118164
RH_lag12_r3_mean,2.1829111576080322
PT08.S2(NMHC)_lag2_r3_mean,2.1769027709960938
PT08.S4(NO2)_r12_std,2.1751837730407715
NOx(GT)_lag3_r24_mean,2.1747994422912598
T_lag6_r12_mean,2.1743156909942627
PT08.S4(NO2)_r6_mean,2.1695711612701416
RH_lag2_r3_mean,2.1686689853668213
T_lag2_r12_std,2.167985439300537
PT08.S5(O3)_lag6,2.1657238006591797
NOx(GT)_lag2_r12_std,2.160942554473877
CO(GT)_lag1_r6_mean,2.159233331680298
CO(GT)_lag2_r12_std,2.1575684547424316
NO2(GT)_lag3_r3_mean,2.157036542892456
NO2(GT)_lag2_r3_mean,2.154658317565918
PT08.S1(CO)_lag3,2.154313087463379
RH_lag1_r12_mean,2.1522486209869385
PT08.S1(CO)_lag24_r12_std,2.1513640880584717
PT08.S4(NO2)_lag2_r3_mean,2.1505954265594482
