feature,importance
CO(GT),58.409767150878906
CO(GT)_r3_mean,36.64324951171875
CO(GT)_lag1,26.644636154174805
NOx(GT),22.54973030090332
NOx(GT)_r3_mean,20.88081932067871
hour,17.647422790527344
NOx(GT)_lag1,14.747275352478027
PT08.S2(NMHC)_r3_mean,11.681231498718262
C6H6(GT),9.931652069091797
weekday,9.458808898925781
C6H6(GT)_r3_mean,9.29628849029541
CO(GT)_r3_std,8.566848754882812
PT08.S2(NMHC),8.51425552368164
T_lag3_r24_mean,8.263152122497559
NMHC(GT)_lag6_r3_mean,7.820043563842773
NMHC(GT)_lag3_r3_mean,7.626033782958984
NO2(GT)_lag3_r6_mean,7.563495635986328
PT08.S1(CO)_r3_mean,7.424721717834473
NMHC(GT)_lag2_r6_mean,7.406129360198975
CO(GT)_r6_std,7.395880699157715
PT08.S4(NO2)_lag6_r24_mean,7.350936412811279
PT08.S1(CO),7.305050849914551
PT08.S3(NOx)_r24_std,7.286080837249756
anomaly_flag,7.101625442504883
PT08.S3(NOx)_lag1_r24_std,7.075268745422363
CO(GT)_lag3_r3_std,6.839336395263672
NMHC(GT)_lag2_r24_mean,6.8381781578063965
T_lag6_r24_mean,6.759620666503906
CO(GT)_lag1_r3_std,6.724111080169678
PT08.S4(NO2)_lag3_r3_mean,6.711671352386475
T_lag2_r24_mean,6.577897548675537
NOx(GT)_r6_mean,6.548451900482178
CO(GT)_lag3_r6_std,6.541815757751465
NMHC(GT)_lag6_r12_mean,6.530850887298584
PT08.S4(NO2)_lag3_r6_std,6.526525974273682
PT08.S3(NOx)_lag6_r12_std,6.086557865142822
NO2(GT)_lag1_r12_mean,6.074645519256592
NOx(GT)_lag24_r6_std,6.072767734527588
NOx(GT)_lag24,6.068487167358398
PT08.S4(NO2)_lag12_r24_mean,6.043221473693848
NOx(GT)_lag24_r6_mean,5.942664623260498
NOx(GT)_lag6,5.910000801086426
NO2(GT)_lag6,5.832240581512451
CO(GT)_lag2_r3_std,5.769712924957275
NOx(GT)_lag24_r3_mean,5.755861282348633
NMHC(GT)_lag24_r3_mean,5.752364158630371
PT08.S3(NOx)_lag24_r24_mean,5.724476337432861
PT08.S5(O3)_lag6_r6_mean,5.701264381408691
NMHC(GT)_lag24_r6_mean,5.7007551193237305
NMHC(GT)_lag6_r24_mean,5.667926788330078
T_lag24_r24_mean,5.618029594421387
PT08.S3(NOx)_lag3_r24_std,5.606420516967773
C6H6(GT)_lag2_r6_mean,5.602566719055176
NO2(GT)_r3_std,5.5298051834106445
NOx(GT)_lag1_r3_mean,5.522092819213867
NOx(GT)_lag2_r24_std,5.510448455810547
AH_lag6_r24_mean,5.50685453414917
NMHC(GT)_lag1_r12_std,5.446859359741211
PT08.S4(NO2)_lag24_r24_mean,5.424204349517822
PT08.S2(NMHC)_lag3_r24_std,5.422696113586426
NOx(GT)_lag1_r24_std,5.411088466644287
NMHC(GT)_lag24_r12_mean,5.409996032714844
NO2(GT),5.392960548400879
PT08.S5(O3),5.379636764526367
NMHC(GT)_lag2_r12_std,5.364394664764404
NMHC(GT)_lag2_r3_mean,5.354506969451904
NMHC(GT)_lag3_r24_mean,5.3372297286987305
NO2(GT)_lag1_r3_std,5.335199356079102
CO(GT)_lag1_r3_mean,5.326459884643555
NO2(GT)_r12_mean,5.325494289398193
RH_r24_mean,5.308441638946533
T_lag1_r24_mean,5.301690578460693
NOx(GT)_lag6_r24_std,5.290170192718506
NOx(GT)_lag12_r12_std,5.274914264678955
T,5.27396297454834
NMHC(GT)_r12_std,5.253058433532715
RH_lag3_r24_mean,5.205379962921143
T_lag3_r6_mean,5.174315929412842
PT08.S5(O3)_lag12_r6_mean,5.159029483795166
NO2(GT)_lag2_r6_mean,5.139899253845215
NO2(GT)_lag3_r3_mean,5.133416652679443
PT08.S5(O3)_r3_std,5.132901191711426
PT08.S3(NOx)_lag12_r12_mean,5.123953819274902
PT08.S1(CO)_lag6_r24_mean,5.109869480133057
NOx(GT)_r12_mean,5.107203006744385
PT08.S2(NMHC)_lag24_r24_mean,5.094075679779053
PT08.S2(NMHC)_lag1_r6_mean,5.088464260101318
NOx(GT)_r24_std,5.083240509033203
AH_lag24_r6_mean,5.080263137817383
CO(GT)_lag2_r6_std,5.051477432250977
T_lag12_r12_std,5.01851224899292
PT08.S4(NO2)_lag24_r6_mean,5.002741813659668
NO2(GT)_lag24_r6_mean,4.989739894866943
NMHC(GT)_lag3_r12_std,4.983557224273682
NO2(GT)_lag2_r12_mean,4.983006477355957
T_lag12_r24_mean,4.975149631500244
C6H6(GT)_r3_std,4.966259956359863
T_r3_mean,4.962993144989014
C6H6(GT)_lag1_r12_mean,4.94711446762085
NMHC(GT)_lag24_r24_mean,4.944767475128174
NMHC(GT)_lag6_r6_mean,4.941579341888428
PT08.S1(CO)_lag1_r24_std,4.938031196594238
PT08.S1(CO)_lag3_r24_mean,4.921684741973877
RH_lag1_r24_mean,4.918224811553955
NOx(GT)_lag2,4.913088321685791
T_lag12,4.909739971160889
C6H6(GT)_r12_mean,4.90300178527832
PT08.S1(CO)_r6_mean,4.899026393890381
AH_lag24_r24_mean,4.897344589233398
CO(GT)_lag6_r24_std,4.897207736968994
CO(GT)_lag12_r6_std,4.889559745788574
NOx(GT)_lag24_r12_std,4.877425193786621
C6H6(GT)_lag6_r24_std,4.8624701499938965
PT08.S2(NMHC)_lag1,4.858938694000244
T_r24_mean,4.8584394454956055
PT08.S2(NMHC)_lag12_r12_mean,4.8531928062438965
PT08.S1(CO)_lag6_r12_std,4.836543083190918
AH,4.8285980224609375
PT08.S3(NOx)_lag2_r24_std,4.822017669677734
NMHC(GT)_r6_std,4.818568706512451
NMHC(GT)_lag12_r12_mean,4.7782087326049805
AH_lag3_r24_mean,4.753462791442871
PT08.S4(NO2)_lag6_r6_mean,4.748818874359131
RH_lag12_r12_std,4.747864723205566
PT08.S3(NOx)_lag24_r24_std,4.7467193603515625
RH_lag2_r24_mean,4.738420009613037
month,4.73740816116333
NO2(GT)_lag24,4.726958274841309
NOx(GT)_r24_mean,4.723971843719482
T_lag1_r6_std,4.723625183105469
PT08.S2(NMHC)_r24_std,4.722718238830566
PT08.S3(NOx)_lag1_r24_mean,4.7220354080200195
AH_lag12_r24_mean,4.7117390632629395
NMHC(GT)_r24_mean,4.6938676834106445
PT08.S2(NMHC)_lag3_r6_std,4.665920257568359
C6H6(GT)_r24_mean,4.644232273101807
AH_lag6_r24_std,4.637008190155029
NO2(GT)_lag24_r12_std,4.636956214904785
PT08.S1(CO)_lag1_r12_std,4.6297502517700195
PT08.S3(NOx)_lag12_r24_mean,4.624752044677734
RH_lag6_r6_std,4.623281955718994
PT08.S4(NO2)_lag24_r12_mean,4.608417510986328
C6H6(GT)_lag3_r6_mean,4.596861839294434
NMHC(GT)_r3_mean,4.5887861251831055
AH_lag2_r24_mean,4.5842156410217285
RH_lag12,4.581392765045166
C6H6(GT)_lag1_r6_mean,4.575512886047363
NMHC(GT)_lag1_r12_mean,4.544877052307129
NMHC(GT)_lag2_r6_std,4.544800758361816
PT08.S3(NOx)_lag3_r12_std,4.532037734985352
NO2(GT)_lag6_r6_mean,4.5241827964782715
PT08.S1(CO)_lag3,4.5237040519714355
RH_lag12_r3_mean,4.514850616455078
PT08.S1(CO)_lag1_r24_mean,4.514138698577881
T_lag6_r24_std,4.5099897384643555
T_lag12_r3_mean,4.487961769104004
RH_lag6_r24_std,4.486595153808594
NO2(GT)_lag6_r24_mean,4.483222961425781
PT08.S3(NOx)_r12_mean,4.478803634643555
NOx(GT)_lag2_r24_mean,4.477569103240967
PT08.S3(NOx)_lag3_r12_mean,4.4645867347717285
AH_lag1_r24_mean,4.451943874359131
PT08.S4(NO2)_lag3_r12_mean,4.447778224945068
PT08.S3(NOx)_lag6_r24_mean,4.447021484375
CO(GT)_lag24_r24_std,4.446977138519287
PT08.S1(CO)_lag1_r12_mean,4.445578575134277
PT08.S5(O3)_lag1,4.4450531005859375
NMHC(GT)_lag1_r6_mean,4.444135665893555
PT08.S3(NOx),4.437683582305908
AH_lag12,4.436807632446289
PT08.S1(CO)_lag3_r6_std,4.428649425506592
RH_lag12_r24_mean,4.422332286834717
CO(GT)_lag12_r24_std,4.420628070831299
NO2(GT)_lag2_r3_std,4.413326263427734
AH_lag6,4.411431312561035
RH_r24_std,4.406853675842285
PT08.S5(O3)_r24_mean,4.400994300842285
NMHC(GT)_r12_mean,4.3954339027404785
AH_lag12_r6_mean,4.394880771636963
NOx(GT)_lag6_r3_mean,4.3938374519348145
C6H6(GT)_lag24_r24_mean,4.392109394073486
NMHC(GT)_lag24_r12_std,4.390644073486328
AH_lag24_r12_mean,4.384538650512695
PT08.S2(NMHC)_lag2_r6_mean,4.380173206329346
PT08.S2(NMHC)_lag3_r3_mean,4.379415988922119
NOx(GT)_lag1_r12_mean,4.37349796295166
AH_lag1_r12_mean,4.367043972015381
T_lag3_r12_mean,4.3633809089660645
T_r6_std,4.362966537475586
NO2(GT)_lag3_r12_mean,4.351754665374756
NO2(GT)_lag3_r24_mean,4.343151092529297
NOx(GT)_lag3_r6_std,4.334901332855225
